OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
5,0.26,1,3,2,2292,3,1,1,0,5,0,1,0,4,3,1,2,2,4,2,1,2,1,0,0,0,1,2,4,3,1,1,6.32,0,5.863
5,0.77,3,3,4,1493,1,2,0,2,0,2,3,2,1,2,1,2,3,2,2,4,2,5,0,0,0,4,0,0,3,1,1,3.69,0,10
5,0.73,1,2,4,1418,3,2,1,1,4,1,2,0,4,2,2,2,4,4,2,1,2,1,0,0,0,1,2,5,3,2,1,5.82,0,5.312
5,0.42,1,3,4,1340,3,2,0,0,3,0,3,2,3,3,2,3,3,4,2,2,2,1,0,0,0,1,2,4,3,1,1,7.13,0,5.926
5,0.54,3,1,4,1887,3,5,2,1,1,1,1,0,4,4,2,2,3,4,2,3,2,4,0,0,0,2,2,4,3,1,1,6.67,0,5.708
4,0.16,1,3,3,1632,3,1,1,0,5,0,1,2,3,2,3,3,3,4,2,2,2,1,0,0,0,1,2,4,2,2,1,6.42,0,5.698
5,0.41,1,3,4,1348,3,0,0,0,4,0,2,2,4,2,1,1,4,3,2,1,3,1,0,0,0,1,2,4,2,1,1,7.89,0,5.366
5,0.55,1,3,3,1407,4,1,0,1,1,1,2,4,4,3,1,2,4,4,3,1,2,4,0,0,0,2,1,3,3,1,1,6.35,0,6.532
2,0.025,3,2,1,2017,3,5,0,2,0,0,1,0,3,1,1,3,4,1,2,5,1,1,0,0,0,1,2,4,3,2,1,6.085714286,0,3.806
5,0.2,2,1,3,1971,2,0,0,0,1,0,2,0,4,1,1,2,3,2,1,4,1,1,0,0,0,1,1,2,3,1,1,5.821428571,0,4.589
1,0.005,2,3,6,2039,1,1,0,2,0,2,3,2,2,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,5.557142857,0,10
5,0.75,2,1,4,1363,3,5,0,5,0,1,1,1,3,1,2,2,4,2,1,5,1,5,0,0,0,5,0,0,3,1,1,5.292857143,0,10
1,0.28,3,3,6,1824,1,1,0,3,0,0,4,2,1,1,1,3,3,1,2,6,0,0,0,0,0,4,0,0,3,1,6,5.028571429,0,10
2,0.006,1,0,6,2146,1,0,0,0,0,1,5,2,4,1,1,3,3,1,2,5,1,5,0,0,0,5,0,0,3,1,1,4.764285714,0,10
1,0.49,2,2,4,1421,1,2,0,2,0,3,3,2,1,1,1,1,3,2,1,5,1,5,0,0,0,1,3,5,3,1,1,4.5,0,2.942
4,0.75,2,3,4,1337,3,1,0,1,5,1,1,1,4,3,2,2,4,3,1,4,2,5,0,0,0,3,2,5,3,1,1,4.826666667,0,5.35
5,0.82,3,3,4,1408,2,1,0,1,0,2,2,3,4,1,1,1,3,2,1,5,1,5,0,0,0,4,0,0,3,1,1,5.153333333,0,10
5,0.23,2,1,4,1624,2,2,1,0,1,0,3,4,3,2,2,3,4,3,3,2,2,5,0,0,0,4,2,3,3,1,2,5.48,0,10
5,0.16,3,3,4,2075,2,1,0,3,0,3,2,2,1,1,1,2,3,2,1,5,1,5,0,0,0,4,0,0,2,1,1,7.12,0,10
4,0.47,3,3,4,1692,1,1,0,1,0,2,1,4,1,1,1,1,3,1,1,6,0,0,0,0,0,4,0,0,3,1,1,4.65,0,10
2,0.001,2,2,6,1945,3,0,0,0,5,0,2,1,3,4,1,3,3,2,4,3,1,4,1,0,0,1,2,4,3,1,1,4.96875,0,5.379
5,0.08,1,2,4,2254,3,3,0,3,0,2,0,2,3,4,3,3,3,2,2,4,1,3,0,0,0,1,2,5,1,2,1,5.2875,0,4.783
5,0.01,2,1,4,2241,3,0,0,0,2,0,4,3,1,2,1,1,2,1,2,5,2,1,0,0,0,1,1,1,3,2,1,5.60625,0,4.231
5,0.37,2,2,4,1971,3,2,0,2,0,2,0,3,1,1,1,2,3,2,2,4,1,5,0,0,0,5,0,0,1,1,1,5.925,0,10
2,0.212,3,3,6,2039,2,1,0,3,0,2,4,1,1,1,1,3,3,1,1,6,0,0,0,0,0,4,0,0,3,2,1,6.24375,0,10
4,0.12,1,2,6,2092,1,0,0,2,0,2,3,2,3,1,1,1,3,1,1,6,0,0,0,0,0,4,0,0,1,1,1,6.5625,0,10
2,0.28,2,3,4,1974,3,3,0,0,4,0,0,0,4,4,1,3,4,3,3,4,3,1,0,0,0,1,2,4,3,2,6,6.88125,0,4.816
5,0.67,3,3,2,1706,3,0,1,0,3,0,2,3,1,1,1,1,2,5,2,1,2,5,0,0,0,2,1,3,3,1,1,7.2,0,6.183
2,0.156,2,2,2,1947,3,5,0,2,0,0,0,0,4,2,1,3,4,2,2,5,1,5,0,0,0,4,0,0,3,2,6,6.885,0,10
3,0.45,2,2,4,1428,3,4,0,2,3,1,1,0,3,2,2,3,4,4,2,2,2,2,0,0,0,2,1,5,3,2,1,6.57,0,5.764
2,0.17204,2,2,6,1801,2,2,0,2,0,1,3,2,4,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,6.342,0,10
2,0.44,1,3,6,1943,2,0,0,2,0,1,4,3,4,1,1,3,3,1,1,6,0,0,0,0,0,4,0,0,3,2,6,6.114,0,10
5,0.412,1,1,4,2062,3,0,0,0,5,0,0,3,3,4,2,3,2,3,3,4,2,1,0,0,0,1,1,4,3,2,6,5.886,0,5.429
5,0.279,1,2,4,1947,3,0,2,0,5,0,0,0,3,4,2,3,2,3,3,3,3,1,0,0,0,1,1,5,3,2,6,5.658,0,5.807
