Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
0,6,0,3,0,0,2,0,0,2,0,4.3,128.7,124.3,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,6.15,1,0.0,0
2,7,0,1,1,0,0,0,0,2,0,4.3,91.3,87.0,0,6.04,1,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,9.21,2,0.0,0
1,4,2,2,2,0,1,1,0,1,1,4.0,130.0,126.0,2,2.658599369179684,0,4.784844986185036,1,6.264159289811141,2,10.0,2,2.921918136454289,1,10.0,2,-0.2680688876341052,0,0.0,0
0,6,0,1,1,3,0,0,0,2,0,4.0,88.0,84.0,1,6.04,1,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,9.21,2,0.0,0
3,3,2,2,2,1,2,1,0,2,1,4.0,80.3,76.3,2,0.3412735576158163,0,0.0,0,6.425208487279637,2,1.896957503998945,0,1.382022977963089,0,10.0,2,0.7786561264822143,0,0.0,0
3,8,2,2,2,2,3,1,0,0,1,4.0,80.0,76.0,2,10.0,2,0.0,0,5.116788064323164,2,0.0,0,10.0,2,10.0,2,5.75592885375494,1,0.0,0
4,3,0,1,0,0,2,0,0,3,0,3.7,110.7,107.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.46,2,0.0,1
3,8,0,3,1,1,2,0,1,0,0,3.7,29.3,25.6,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.02,1,0.0,0
0,6,3,0,0,0,1,0,1,3,0,3.3,36.3,33.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.49,2,0.0,0
4,8,3,4,1,3,1,0,1,3,0,3.0,27.0,24.0,8,1.38,0,5.67,1,2.84,0,10.0,2,0.96,0,5.96,1,1.47,0,3.9,1
0,6,0,1,1,0,2,0,2,0,2,3.0,15.0,12.0,1,6.94,1,0.0,0,6.05,1,0.0,0,3.35,1,0.0,0,7.44,2,0.0,0
0,0,0,0,1,0,2,0,0,0,0,2.7,143.3,140.6,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.461180124223602,2,3.485198506956227,1
