OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F41,F42,F48,F49,F54,S5,NR,NR_Function,F44
1,0.006,0,0,5,2146,0,0,0,0,0,1,5,2,3,0,0,2,2,0,1,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.378,3,3,5,2175,0,1,0,2,0,3,0,2,2,0,1,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.9,0,1,5,2169,0,1,0,2,0,2,5,2,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.76,2,3,3,1973,0,0,0,1,0,2,4,2,3,0,0,0,2,2,0,3,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.36,2,3,3,2166,0,1,0,2,2,3,3,3,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
1,0.47,3,3,3,2079,0,1,0,1,0,2,2,3,3,0,0,0,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.3,2,3,3,2283,0,1,0,1,0,2,3,3,2,0,0,0,2,1,0,4,0,0,0,4,0,0,0,2,0,0,0.0,10.0,2,0
2,0.252,1,1,3,2147,3,0,0,0,2,0,1,5,3,0,0,2,3,1,3,1,1,3,4,2,0,1,0,2,1,0,0.0,1.89,0,2
0,0.25,1,3,2,2232,1,0,0,0,1,0,3,4,2,0,0,2,2,1,2,2,0,4,2,3,1,0,0,2,0,0,0.0,2.06,0,1
1,0.279,0,2,1,2073,3,0,0,0,2,0,0,5,3,0,0,2,1,1,3,1,1,3,3,1,2,1,0,2,1,5,0.5,1.97,0,2
1,0.016,0,2,1,2062,3,0,0,0,2,0,2,5,2,4,0,2,2,1,3,0,0,2,2,2,0,1,0,2,1,0,0.0,1.28,0,2
3,0.03,1,2,3,2082,3,0,0,0,0,0,1,1,1,0,0,0,1,1,3,3,1,4,3,2,1,1,0,2,0,0,0.5833333333333334,1.55857338686897,0,0
4,0.00085,0,2,3,1970,3,0,3,0,0,0,2,4,3,3,0,2,1,2,3,2,2,0,0,0,0,1,0,2,2,5,0.0,2.77,1,1
2,0.086,0,2,1,2207,2,6,0,0,0,1,1,0,2,3,0,2,1,1,2,4,0,2,0,0,0,1,0,2,1,0,0.0,0.26,0,3
1,0.75,0,2,3,2202,2,5,0,2,0,2,0,0,2,2,0,2,2,1,2,3,1,4,0,0,0,0,0,2,1,1,0.0,1.74,0,4
3,0.1,1,3,3,2065,2,3,0,0,1,0,4,0,3,3,2,1,0,1,1,3,0,0,0,0,0,1,0,2,2,0,0.0,0.25,0,3
4,0.2,1,3,5,2082,0,2,0,2,2,0,3,1,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.4166666666666667,10.0,2,0
1,0.634,0,3,5,2032,2,3,0,4,0,0,2,0,2,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,5,0.0,10.0,2,0
1,0.0356,1,3,5,2180,1,0,0,3,0,1,4,0,0,0,0,2,2,0,1,4,0,4,0,0,0,0,0,2,1,5,0.5,-0.05,0,3
0,0.166,0,3,5,2111,1,0,0,3,0,0,4,2,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,5,0.0,10.0,2,0
0,0.308,1,1,3,2079,1,2,0,4,0,2,3,1,2,0,0,2,2,1,2,3,0,3,0,0,0,1,0,2,1,5,0.0,0.18,0,3
