OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F33,F34,F36,F38,F41,F42,F44,F49,F63,F65,PR,PR_Function
2,3,1342,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0.0,4.01,10.0,2
2,3,1342,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
1,3,1426,3,1,2,2,0,2,1,3,4,1,0,1,0,0,0,0.0,6.43,4.131300488104034,1
2,3,1363,0,0,2,1,4,0,4,4,4,2,0,0,0,0,0,0.0,3.66,10.0,2
0,1,1907,1,1,1,2,0,1,1,0,0,0,0,0,0,1,1,0.0,6.39,2.102052784940993,0
2,3,1907,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0.0,4.1,10.0,2
1,3,1479,1,2,2,1,4,0,0,0,0,0,0,0,0,1,0,0.0,6.51,5.274499454590239,1
1,3,1523,0,0,2,3,1,1,1,3,2,1,0,0,0,0,0,0.0,5.89,4.282892565168507,1
0,3,1523,1,1,3,2,0,1,1,2,2,1,0,1,0,0,0,0.0,5.578095744680851,3.967469784634358,1
1,4,1909,0,1,4,3,0,1,1,2,3,1,0,1,0,1,0,0.0,4.24,2.408991972171535,0
2,3,2195,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
2,3,2195,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
2,3,2009,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0.0,3.45,10.0,2
1,3,2166,1,1,1,1,1,1,1,3,3,1,0,1,0,0,0,0.0,6.46,4.43,1
2,3,2241,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
2,3,2241,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0.0,3.53,10.0,2
1,3,2341,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0.0,5.13,10.0,2
0,3,2341,0,1,3,1,3,1,1,0,0,0,0,0,0,0,0,0.0,4.01,10.0,2
0,1,2292,2,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0.0,6.32,2.65,0
2,3,2075,3,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
